"Date","Price","Open","High","Low","Vol.","Change %"
"06/30/2026","22,774.25","22,735.20","22,865.70","22,617.15","","0.42%"
"06/29/2026","22,679.65","22,737.35","22,785.75","22,539.35","","-0.31%"
"06/25/2026","22,751.05","22,967.75","23,005.70","22,723.45","","-0.53%"
"06/24/2026","22,872.50","22,848.30","22,943.70","22,715.05","","0.08%"
"06/23/2026","22,853.55","23,109.75","23,138.90","22,817.40","","-0.95%"
"06/22/2026","23,073.05","23,073.55","23,111.40","23,008.50","","0.44%"
"06/19/2026","22,972.95","22,805.45","23,006.45","22,747.55","","0.35%"
"06/18/2026","22,893.20","22,842.60","22,906.50","22,788.95","","0.47%"
"06/17/2026","22,786.25","22,730.00","22,797.00","22,683.20","","0.51%"
"06/16/2026","22,671.40","22,664.65","22,687.60","22,541.75","","0.38%"
"06/15/2026","22,585.10","22,614.75","22,700.85","22,550.35","","1.47%"
"06/12/2026","22,257.90","22,015.50","22,279.90","21,931.60","","2.41%"
"06/11/2026","21,733.05","21,826.50","21,906.15","21,698.50","","-0.85%"
"06/10/2026","21,920.20","22,243.40","22,261.95","21,875.80","","-1.33%"
"06/09/2026","22,216.25","22,054.00","22,241.55","22,042.95","","1.32%"
"06/08/2026","21,926.45","21,973.60","22,168.50","21,841.25","","-1.46%"
"06/05/2026","22,251.80","22,399.45","22,461.40","22,172.60","","-0.29%"
"06/04/2026","22,315.95","22,174.60","22,416.90","22,114.15","","0.43%"
"06/03/2026","22,220.50","22,302.25","22,321.95","21,962.15","","-0.38%"
"06/02/2026","22,305.85","22,148.45","22,329.75","22,025.90","","0.18%"
"06/01/2026","22,265.20","22,662.75","22,695.10","22,234.00","","-1.36%"
"05/29/2026","22,571.40","22,991.55","23,007.10","22,512.25","","-1.37%"
"05/27/2026","22,884.90","22,827.30","22,932.90","22,814.70","","0.39%"
"05/26/2026","22,795.50","22,724.05","22,827.90","22,667.55","","0.45%"
"05/25/2026","22,694.35","22,703.35","22,725.65","22,645.75","","0.84%"
"05/22/2026","22,504.20","22,553.80","22,557.85","22,419.00","","0.11%"
"05/21/2026","22,479.15","22,619.65","22,665.50","22,434.95","","0.10%"
"05/20/2026","22,457.40","22,246.05","22,481.50","22,170.95","","0.37%"
"05/19/2026","22,374.75","22,262.95","22,497.90","22,260.45","","0.77%"
"05/18/2026","22,203.50","22,116.20","22,228.15","21,842.20","","-0.24%"
"05/15/2026","22,257.95","22,430.15","22,436.35","22,228.20","","-0.44%"
"05/14/2026","22,357.15","22,232.45","22,390.20","22,030.50","","1.18%"
"05/13/2026","22,096.50","21,973.85","22,250.85","21,899.20","","0.63%"
"05/12/2026","21,957.65","22,494.10","22,543.65","21,933.25","","-2.53%"
"05/11/2026","22,526.60","22,675.60","22,675.75","22,443.05","","-1.08%"
"05/08/2026","22,772.40","22,824.50","22,846.70","22,728.00","","-0.14%"
"05/07/2026","22,804.95","22,679.15","22,836.90","22,615.70","","1.10%"
"05/06/2026","22,556.50","22,414.35","22,579.90","22,352.40","","1.70%"
"05/05/2026","22,180.25","22,159.45","22,207.20","22,042.45","","0.11%"
"05/04/2026","22,155.50","22,164.80","22,288.00","22,019.05","","0.71%"
"04/30/2026","22,000.05","22,130.00","22,132.75","21,834.90","","-0.96%"
